	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
178	SRS013521	57421120	6948457	feces	Human feces	6780359	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
179	SRS013521	57421120	6948457	feces	Human feces	6780359	Aeromonas media	0	Unknown	Human Microbiome Project
180	SRS013638	35221098	3640335	feces	Human feces	3503797	Morganella morganii	32	Unknown	Human Microbiome Project
181	SRS013638	35221098	3640335	feces	Human feces	3503797	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
182	SRS013638	35221098	3640335	feces	Human feces	3503797	Proteus terrae	0	Unknown	Human Microbiome Project
183	SRS013638	35221098	3640335	feces	Human feces	3503797	Providencia rettgeri	0	Unknown	Human Microbiome Project
184	SRS013638	35221098	3640335	feces	Human feces	3503797	Providencia stuartii	0	Unknown	Human Microbiome Project
185	SRS013638	35221098	3640335	feces	Human feces	3503797	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
186	SRS013638	35221098	3640335	feces	Human feces	3503797	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
187	SRS013638	35221098	3640335	feces	Human feces	3503797	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
188	SRS013638	35221098	3640335	feces	Human feces	3503797	Aeromonas media	0	Unknown	Human Microbiome Project
189	SRS013639	85447894	6514289	feces	Human feces	6138008	Morganella morganii	0	Unknown	Human Microbiome Project
190	SRS013639	85447894	6514289	feces	Human feces	6138008	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
191	SRS013639	85447894	6514289	feces	Human feces	6138008	Proteus terrae	0	Unknown	Human Microbiome Project
192	SRS013639	85447894	6514289	feces	Human feces	6138008	Providencia rettgeri	0	Unknown	Human Microbiome Project
193	SRS013639	85447894	6514289	feces	Human feces	6138008	Providencia stuartii	0	Unknown	Human Microbiome Project
194	SRS013639	85447894	6514289	feces	Human feces	6138008	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
195	SRS013639	85447894	6514289	feces	Human feces	6138008	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
196	SRS013639	85447894	6514289	feces	Human feces	6138008	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
197	SRS013639	85447894	6514289	feces	Human feces	6138008	Aeromonas media	0	Unknown	Human Microbiome Project
198	SRS013687	54737259	4433289	feces	Human feces	4320188	Morganella morganii	4	Unknown	Human Microbiome Project
199	SRS013687	54737259	4433289	feces	Human feces	4320188	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
200	SRS013687	54737259	4433289	feces	Human feces	4320188	Proteus terrae	0	Unknown	Human Microbiome Project
201	SRS013687	54737259	4433289	feces	Human feces	4320188	Providencia rettgeri	1	Unknown	Human Microbiome Project
202	SRS013687	54737259	4433289	feces	Human feces	4320188	Providencia stuartii	0	Unknown	Human Microbiome Project
203	SRS013687	54737259	4433289	feces	Human feces	4320188	Kluyvera cryocrescens	10	Unknown	Human Microbiome Project
204	SRS013687	54737259	4433289	feces	Human feces	4320188	Atlantibacter hermannii	3	Unknown	Human Microbiome Project
205	SRS013687	54737259	4433289	feces	Human feces	4320188	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
206	SRS013687	54737259	4433289	feces	Human feces	4320188	Aeromonas media	0	Unknown	Human Microbiome Project
207	SRS013800	50454586	6954901	feces	Human feces	6825218	Morganella morganii	2	Unknown	Human Microbiome Project
208	SRS013800	50454586	6954901	feces	Human feces	6825218	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
209	SRS013800	50454586	6954901	feces	Human feces	6825218	Proteus terrae	0	Unknown	Human Microbiome Project
210	SRS013800	50454586	6954901	feces	Human feces	6825218	Providencia rettgeri	0	Unknown	Human Microbiome Project
211	SRS013800	50454586	6954901	feces	Human feces	6825218	Providencia stuartii	0	Unknown	Human Microbiome Project
212	SRS013800	50454586	6954901	feces	Human feces	6825218	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
213	SRS013800	50454586	6954901	feces	Human feces	6825218	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
214	SRS013800	50454586	6954901	feces	Human feces	6825218	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
215	SRS013800	50454586	6954901	feces	Human feces	6825218	Aeromonas media	0	Unknown	Human Microbiome Project
216	SRS013940	19843290	1882380	feces	Human feces	1789667	Morganella morganii	0	Unknown	Human Microbiome Project
217	SRS013940	19843290	1882380	feces	Human feces	1789667	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
218	SRS013940	19843290	1882380	feces	Human feces	1789667	Proteus terrae	0	Unknown	Human Microbiome Project
219	SRS013940	19843290	1882380	feces	Human feces	1789667	Providencia rettgeri	0	Unknown	Human Microbiome Project
220	SRS013940	19843290	1882380	feces	Human feces	1789667	Providencia stuartii	0	Unknown	Human Microbiome Project
221	SRS013940	19843290	1882380	feces	Human feces	1789667	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
222	SRS013940	19843290	1882380	feces	Human feces	1789667	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
223	SRS013940	19843290	1882380	feces	Human feces	1789667	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
224	SRS013940	19843290	1882380	feces	Human feces	1789667	Aeromonas media	0	Unknown	Human Microbiome Project
